Date,Source,URL,Title,Notes,Keywords,Quality
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271786/rates-of-t-bills-three-year-bonds-to-move-sideways-ahead-of-data/,"Rates of T-bills, three-year bonds to move sideways ahead of data",Banking,NA,1
2020-01-06,Business World,https://www.bworldonline.com/banking-finance/2020/01/06/271969/peso-rebounds-ahead-of-december-inflation-data/,Peso rebounds ahead of December inflation data,Banking,NA,1
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271968/local-shares-decline-on-geopolitical-tensions/,Local shares decline on geopolitical tensions,Stock Market,NA,1
2020-01-07,Business World,https://www.bworldonline.com/economy/2020/01/07/272285/gir-hits-record-levels-at-end-2019-as-trade-deficit-narrows/,GIR hits record levels at end-2019 as trade deficit narrows,Economy,NA,1
2020-01-07,Business World,https://www.bworldonline.com/editors-picks/2020/01/07/272284/bsp-looking-at-rate-cut-to-discourage-hot-money/,BSP looking at rate cut to discourage hot money,Economy,NA,1
2020-01-07,Business World,https://www.bworldonline.com/banking-finance/2020/01/07/272182/peso-strengthens-on-inflation-gir-data/,"Peso strengthens on inflation, GIR data",Finance,NA,2
2020-01-08,Business World,https://www.bworldonline.com/editors-picks/2020/01/08/272185/peso-may-weaken-anew-on-rate-cuts-ca-deficit/,"Peso may weaken anew on rate cuts, CA deficit",Banking,NA,1
2020-01-08,Business World,https://www.bworldonline.com/editors-picks/2020/01/08/272388/main-index-drops-as-us-iran-tensions-escalate/,Main index drops as US-Iran tensions escalate,Stock Market,NA,1
2020-01-08,Inquirer,https://business.inquirer.net/286744/ph-economy-to-outperform-global-peers-in-next-2-years,PH economy to outperform global peers in next 2 years,Economy,NA,1
2020-01-08,Business Mirror,https://businessmirror.com.ph/2020/01/08/slew-of-events-spooks-investors-prompt-partial-award-of-t-bonds/,"Slew of events spooks investors, prompt partial award of T-bonds",Business,NA,1
2020-01-09,Business World,https://www.bworldonline.com/editors-picks/2020/01/09/272394/liquidity-lending-growth-pick-up-in-november/,"Liquidity, lending growth pick up in November",Banking,NA,1
2020-01-09,Business World,https://www.bworldonline.com/editors-picks/2020/01/09/272611/phl-shares-end-higher-as-us-iran-tensions-ease/,PHL shares end higher as US-Iran tensions ease,Stock Market,NA,1
2020-01-09,Rappler,https://www.rappler.com/business/248893-world-bank-global-economic-prospects-report-january-2020/,Global economy faces fragile recovery beset by risks – World Bank,Business,NA,1
2020-01-10,Business World,https://www.bworldonline.com/editors-picks/2020/01/10/272756/stocks-close-lower-as-investors-await-us-china-trade-deal/,Stocks close lower as investors await US-China trade deal,Stock Market,NA,1
2020-01-13,Business World,https://www.bworldonline.com/banking-finance/2020/01/13/272865/yields-on-govt-debt-up-on-inflation-us-iran-tensions/,"Yields on gov’t debt up on inflation, US-Iran tensions",Banking,NA,1
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/272868/peso-may-strengthen-on-us-china-phase-one-deal/,Peso may strengthen on US-China phase one deal,Banking,NA,1
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/272866/treasury-bill-rates-may-inch-up-as-us-iran-tensions-continue/,Treasury bill rates may inch up as US-Iran tensions continue,Banking,NA,1
2020-01-13,Business World,https://www.bworldonline.com/banking-finance/2020/01/13/273082/peso-may-lag-peers-as-current-account-gap-widens-yuan-to-climb/,Peso may lag peers as current account gap widens; yuan to climb,Banking,NA,1
2020-01-13,Business World,https://www.bworldonline.com/corporate/2020/01/13/272937/century-properties-keen-on-reit-launch/,Century Properties keen on REIT launch,Corporate,NA,2
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/272809/shares-to-rise-on-signing-of-us-china-trade-deal/,Shares to rise on signing of US-China trade deal,Stock Market,NA,1
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/273081/phl-stocks-to-take-cues-from-us-china-trade-talks/,PHL stocks to take cues from US-China trade talks,Stock Market,NA,1
2020-01-14,Business World,https://www.bworldonline.com/editors-picks/2020/01/14/273264/psei-picks-up-on-bargain-hunting-as-trade-resumes/,PSEi picks up on bargain hunting as trade resumes,Stock Market,NA,1
2020-01-14,Business Mirror,https://businessmirror.com.ph/2020/01/14/oil-comes-back-to-haunt-asian-currencies-as-volatility-increases/,Oil comes back to haunt Asian currencies as volatility increases,Business,NA,1
2020-01-14,Business Mirror,https://businessmirror.com.ph/2020/01/14/dealing-with-current-and-future-inflation/,Dealing with current and future inflation,Business,NA,1
2020-01-15,Business World,https://www.bworldonline.com/banking-finance/2020/01/15/273270/fed-on-hold-but-will-financial-risks-matter/,"Fed on hold, but will financial risks matter?",Banking,NA,1
2020-01-15,Business World,https://www.bworldonline.com/editors-picks/2020/01/15/273271/govt-partially-awards-t-bills-as-rates-rise-4/,Gov’t partially awards T-bills as rates rise,Banking,NA,1
2020-01-15,Business World,https://www.bworldonline.com/banking-finance/2020/01/15/273485/peso-weakens-vs-dollar-11/,Peso weakens vs dollar,Banking,NA,1
2020-01-15,Business World,https://www.bworldonline.com/editors-picks/2020/01/15/273484/pse-index-sinks-to-7600-level-on-us-china-talks/,"PSE index sinks to 7,600 level on US-China talks",Manual selection,NA,2
2020-01-15,Business Mirror,https://businessmirror.com.ph/2020/01/15/fmic-psei-may-only-reach-as-much-as-8900-points-this-year/,"FMIC: PSEi may only reach as much as 8,900 points this year",Business,NA,1
2020-01-15,Business Mirror,https://businessmirror.com.ph/2020/01/15/investors-lap-up-short-term-debt-papers-on-uncertainties/,Investors lap up short-term debt papers on uncertainties,Business,NA,1
2020-01-16,Business World,https://www.bworldonline.com/editors-picks/2020/01/16/273490/tdf-yields-decline-despite-lower-demand/,TDF yields decline despite lower demand,Banking,NA,1
2020-01-16,Business World,https://www.bworldonline.com/editors-picks/2020/01/16/273683/shares-extend-decline-following-us-china-deal/,Shares extend decline following US-China deal,Manual selection,NA,2
2020-01-16,Business World,https://www.bworldonline.com/banking-finance/2020/01/16/273697/peso-declines-further-vs-dollar-despite-signing-of-us-china-deal/,Peso declines further vs dollar despite signing of US-China deal,Banking,NA,2
2020-01-16,Business World,https://www.bworldonline.com/editors-picks/2020/01/16/273624/remittance-growth-slows-in-nov/,Remittance growth slows in Nov.,Finance,NA,1
2020-01-17,Business World,https://www.bworldonline.com/editors-picks/2020/01/17/273875/bsps-diokno-dismisses-banking-sector-risk-from-pogos/,BSP’s Diokno dismisses banking-sector risk from POGOs,Economy,NA,1
2020-01-17,Business World,https://www.bworldonline.com/editors-picks/2020/01/17/273866/peso-weakens-slightly-on-lack-of-clarity-from-us-china-trade-deal/,Peso weakens slightly on lack of clarity from US-China trade deal,Banking,NA,1
2020-01-17,Business World,https://www.bworldonline.com/editors-picks/2020/01/17/273861/local-stocks-recover-on-positive-foreign-news/,Local stocks recover on positive foreign news,Stock Market,NA,1
2020-01-20,Business World,https://www.bworldonline.com/banking-finance/2020/01/20/273980/central-bank-to-adjust-tdf-offers-as-demand-wanes-issue-own-debt/,"Central bank to adjust TDF offers as demand wanes, issue own debt",Banking,NA,1
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273979/peso-to-strengthen-anew-ahead-of-q4-gdp-report/,Peso to strengthen anew ahead of Q4 GDP report,Banking,NA,1
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273978/yields-on-government-debt-rise-on-inflation-concerns/,Yields on government debt rise on inflation concerns,Banking,NA,1
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273977/t-bills-t-bonds-to-fetch-higher-rates-on-gdp-data/,"T-bills, T-bonds to fetch higher rates on GDP data",Banking,NA,1
2020-01-20,Business World,https://www.bworldonline.com/banking-finance/2020/01/20/274199/peso-weakens-on-worries-over-middle-east-tensions/,Peso weakens on worries over Middle East tensions,Banking,NA,1
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273954/shares-to-trade-sideways-ahead-of-q4-gdp-data/,Shares to trade sideways ahead of Q4 GDP data,Stock Market,NA,1
2020-01-20,Philippine Star,https://www.philstar.com/business/2020/01/20/1986363/taal-eruptions-impact-economy-likely-small-neda,Taal eruption’s impact on economy likely ‘small’ — NEDA,Business,NA,1
2020-01-21,Business World,https://www.bworldonline.com/editors-picks/2020/01/21/274205/t-bills-partially-awarded-as-rates-climb/,T-bills partially awarded as rates climb,Banking,NA,1
2020-01-21,Business World,https://www.bworldonline.com/banking-finance/2020/01/21/274398/peso-drops-ahead-of-gdp/,Peso drops ahead of GDP,Banking,NA,1
2020-01-21,Inquirer,https://business.inquirer.net/288684/asian-stocks-tumble-on-growing-concern-about-china-virus,Asian stocks tumble on growing concern about China virus,Business,NA,1
2020-01-21,Business Mirror,https://businessmirror.com.ph/2020/01/21/psei-back-to-7500-point-level/,"PSEi back to 7,500-point level",Business,NA,1
2020-01-21,Rappler,https://www.rappler.com/business/249815-imf-trims-global-growth-estimates-sees-improving-outlook/,IMF trims global growth estimates 2020-21 but sees improving outlook,Business,NA,1
2020-01-21,Rappler,https://www.rappler.com/business/249818-green-swan-bankers-warn-climate-change-risks/,‘Green Swan’: Bankers warn of climate change risks,Business,NA,1
2020-01-22,Business World,https://www.bworldonline.com/banking-finance/2020/01/22/274401/green-swan-climate-event-could-trigger-global-crisis/,‘Green swan’ climate event could trigger global crisis,Banking,NA,1
2020-01-22,Business World,https://www.bworldonline.com/editors-picks/2020/01/22/274402/phl-banking-sector-seen-to-weather-risks-this-year-on-economys-strength/,PHL banking sector seen to weather risks this year on economy’s strength,Banking,NA,1
2020-01-22,Business World,https://www.bworldonline.com/editors-picks/2020/01/22/274404/govt-makes-partial-award-of-7-year-bonds/,Gov’t makes partial award of 7-year bonds,Banking,NA,1
2020-01-22,Business World,https://www.bworldonline.com/banking-finance/2020/01/22/274655/peso-rebounds-on-profit-taking-ahead-of-gdp-data/,Peso rebounds on profit taking ahead of GDP data,Banking,NA,1
2020-01-22,Inquirer,https://business.inquirer.net/288778/china-virus-outbreak-may-wallop-economy-financial-markets,"China virus outbreak may wallop economy, financial markets",Business,NA,1
2020-01-22,Inquirer,https://business.inquirer.net/288762/asian-shares-higher-after-selloffs-spurred-by-chinese-virus,Asian shares higher after selloffs spurred by Chinese virus,Business,NA,1
2020-01-22,Inquirer,https://business.inquirer.net/288732/us-stocks-close-lower-amid-jitters-over-virus-outbreak,US stocks close lower amid jitters over virus outbreak,Stocks,NA,1
2020-01-23,Business World,https://www.bworldonline.com/editors-picks/2020/01/23/274662/yields-on-term-deposits-drop-on-euro-bond-issue/,Yields on term deposits drop on euro bond issue,Banking,NA,1
2020-01-23,Business World,https://www.bworldonline.com/banking-finance/2020/01/23/274878/peso-drops-on-china-virus-fears/,Peso drops on China virus fears,Banking,NA,1
2020-01-23,Business World,https://www.bworldonline.com/editors-picks/2020/01/23/274866/stocks-climb-on-bargain-hunting-q4-gdp-data/,"Stocks climb on bargain hunting, Q4 GDP data",Stock Market,NA,1
2020-01-23,Inquirer,https://business.inquirer.net/288814/new-rate-cuts-projected-as-2019-gdp-growth-disappoints,New rate cuts projected as 2019 GDP growth disappoints,Business,NA,1
2020-01-23,Inquirer,https://business.inquirer.net/288808/asian-shares-higher-despite-growing-impact-of-china-virus,Asian shares higher despite growing impact of China virus,Business,NA,1
2020-01-23,Inquirer,https://business.inquirer.net/288802/gdp-growth-fell-to-eight-year-low-of-5-9-in-2019,GDP growth falls to eight-year low of 5.9% in 2019,Business,NA,3
2020-01-23,Inquirer,https://business.inquirer.net/288799/us-stocks-flat-as-health-authorities-focus-on-china-virus,US stocks flat as health authorities focus on China virus,Business,NA,1
2020-01-23,Business Mirror,https://businessmirror.com.ph/2020/01/23/2020-gdp-growth-seen-at-6-3-but-peso-forecast-to-be-weaker/,"2020 GDP growth seen at 6.3%, but peso forecast to be weaker",Business,NA,1
2020-01-24,Business World,https://www.bworldonline.com/banking-finance/2020/01/24/275086/peso-rises-on-positive-growth-prospects/,Peso rises on positive growth prospects,Banking,NA,1
2020-01-24,Business World,https://www.bworldonline.com/editors-picks/2020/01/24/275085/local-shares-end-flat-as-china-virus-fears-persist/,Local shares end flat as China virus fears persist,Manual selection,NA,1
2020-01-24,Inquirer,https://business.inquirer.net/288889/asian-markets-gain-as-china-closes-down-for-lunar-new-year,Asian markets gain as China closes down for Lunar New Year,Business,NA,1
2020-01-24,Inquirer,https://business.inquirer.net/288831/q4-growth-story-brings-hope-as-psei-rallies-by-1-98,Q4 growth story brings hope as PSEi rallies by 1.98%,Business,NA,1
2020-01-24,Philippine Star,https://www.philstar.com/business/2020/01/24/1987439/fitch-unit-sees-modest-economic-growth-2020,Fitch unit sees ‘modest’ economic growth in 2020,Business,NA,1
2020-01-25,Inquirer,https://business.inquirer.net/288924/gdp-growth-seen-back-to-6-in-%ca%bc20,GDP growth seen back to 6% in ʼ20,Business,NA,1
2020-01-25,Inquirer,https://business.inquirer.net/288913/psei-proves-resilience-amid-weeks-battering,PSEi proves resilience amid week’s battering,Business,NA,1
2020-01-27,Business World,https://www.bworldonline.com/editors-picks/2020/01/27/275238/t-bill-rates-may-move-sideways-on-ample-liquidity-lack-of-leads/,"T-bill rates may move sideways on ample liquidity, lack of leads",Banking,NA,1
2020-01-27,Business World,https://www.bworldonline.com/banking-finance/2020/01/27/275422/peso-weakens-on-fears-over-china-virus/,Peso weakens on fears over China virus,Banking,NA,1
2020-01-27,Business World,https://www.bworldonline.com/editors-picks/2020/01/27/275237/peso-may-climb-further-on-market-optimism/,Peso may climb further on market optimism,Manual selection,NA,1
2020-01-27,Business World,https://www.bworldonline.com/editors-picks/2020/01/27/275328/phl-economic-risks-from-china-virus-downplayed/,PHL economic risks from China virus downplayed,Finance,NA,1
2020-01-27,Business World,https://www.bworldonline.com/editors-picks/2020/01/27/275419/stocks-end-lower-on-worries-over-virus-outbreak/,Stocks end lower on worries over virus outbreak,Finance,NA,1
2020-01-27,Inquirer,https://business.inquirer.net/289104/asian-stocks-fall-as-virus-fears-spook-markets-hit-tourism,"Asian stocks fall as virus fears spook markets, hit tourism",Business,NA,1
2020-01-28,Business World,https://www.bworldonline.com/editors-picks/2020/01/28/275425/govt-makes-full-award-of-t-bills-as-rates-drop-on-strong-demand/,Gov’t makes full award of T-bills as rates drop on strong demand,Banking,NA,1
2020-01-28,Business World,https://www.bworldonline.com/banking-finance/2020/01/28/275630/peso-strengthens-as-oil-prices-decline-amid-china-virus-fears/,Peso strengthens as oil prices decline amid China virus fears,Banking,NA,1
2020-01-28,Business World,https://www.bworldonline.com/editors-picks/2020/01/28/275620/shares-decline-further-as-investor-concerns-persist/,Shares decline further as investor concerns persist,Manual selection,NA,1
2020-01-28,Inquirer,https://business.inquirer.net/289184/asian-shares-fall-on-continued-worries-about-china-virus,Asian shares fall on continued worries about China virus,Business,NA,1
2020-01-28,Inquirer,https://business.inquirer.net/289170/stocks-tumble-as-virus-fears-spark-sell-off-dow-falls-453,Stocks tumble as virus fears spark sell-off; Dow falls 453,Business,NA,1
2020-01-29,Business World,https://www.bworldonline.com/banking-finance/2020/01/29/275847/peso-declines-anew/,Peso declines anew,Banking,NA,1
2020-01-29,Business World,https://www.bworldonline.com/editors-picks/2020/01/29/275844/stocks-extend-losing-streak-on-coronavirus-fears/,Stocks extend losing streak on coronavirus fears,Manual selection,NA,1
2020-01-29,Inquirer,https://business.inquirer.net/289262/asian-shares-mostly-higher-after-rebound-on-wall-street,Asian shares mostly higher after rebound on Wall Street,Business,NA,1
2020-01-29,Inquirer,https://business.inquirer.net/289247/bad-timing-new-virus-poses-threat-to-fragile-world-economy,Bad timing: New virus poses threat to fragile world economy,Business,NA,1
2020-01-29,Business Mirror,https://businessmirror.com.ph/2020/01/29/col-volatile-trading-ahead-for-stock-market-possible-decline-to-6800-pts/,"COL: Volatile trading ahead for stock market; possible decline to 6,800 pts",Business,NA,1
2020-01-29,Business Mirror,https://businessmirror.com.ph/2020/01/29/flight-to-safety-pounds-commodity-markets-rattled-by-fears-of-virus/,Flight to safety pounds commodity markets rattled by fears of virus,Business,NA,1
2020-01-30,Business World,https://www.bworldonline.com/editors-picks/2020/01/30/275849/yields-on-term-deposits-decline/,Yields on term deposits decline,Banking,NA,1
2020-01-30,Business World,https://www.bworldonline.com/banking-finance/2020/01/30/276095/peso-weakens-further-on-virus/,Peso weakens further on virus,Banking,NA,1
2020-01-30,Business World,https://www.bworldonline.com/editors-picks/2020/01/30/276094/pse-index-drops-to-7300-level-as-virus-spreads/,"PSE index drops to 7,300 level as virus spreads",Manual selection,NA,1
2020-01-30,Business World,https://www.bworldonline.com/editors-picks/2020/01/30/275975/ng-outstanding-debt-hits-p7-7t-as-of-end-2019/,NG outstanding debt hits P7.7T as of end-2019,Manual selection,NA,3
2020-01-30,Inquirer,https://business.inquirer.net/289336/asian-markets-tumble-as-fears-over-virus-outbreak-spread,Asian markets tumble as fears over virus outbreak spread,Business,NA,1
2020-01-30,Inquirer,https://business.inquirer.net/289323/stocks-give-up-early-gains-and-end-mixed-on-wall-street,Stocks give up early gains and end mixed on Wall Street,Business,NA,1
2020-01-30,Rappler,https://www.rappler.com/business/250608-finance-team-says-philippine-economy-can-handle-coronavirus-effects/,Finance team says PH economy ‘can handle’ coronavirus effects,Business,NA,1
2020-01-30,Rappler,https://www.rappler.com/business/250601-novel-coronavirus-crisis-adds-pressure-slowing-chinese-economy/,Virus crisis adds pressure on slowing Chinese economy,Business,NA,1
2020-01-30,Rappler,https://www.rappler.com/business/250588-novel-coronavirus-scare-downs-philippine-shares-peso-january-30-2020/,"Novel coronavirus scare downs Philippine shares, peso",Business,NA,1
2020-01-30,Rappler,https://www.rappler.com/business/250618-us-federal-reserve-watching-global-economy-signs-infection-novel-coronavirus/,U.S. Fed watching global economy for signs of infection from virus,Business,NA,1
2020-01-31,Business World,https://www.bworldonline.com/editors-picks/2020/01/31/276286/fitch-solutions-sees-construction-sector-growth-accelerating/,Fitch Solutions sees construction-sector growth accelerating,Manual selection,NA,2
2020-01-31,Business World,https://www.bworldonline.com/editors-picks/2020/01/31/276284/claims-held-by-non-bank-financials-rise-14-4-in-third-quarter/,Claims held by non-bank financials rise 14.4% in third quarter,Manual selection,NA,2
2020-01-31,Business World,https://www.bworldonline.com/editors-picks/2020/01/31/276280/peso-stronger-as-coronavirus-fears-recede/,Peso stronger as coronavirus fears recede,Manual selection,NA,2
2020-01-31,Business World,https://www.bworldonline.com/editors-picks/2020/01/31/276279/virus-fears-further-pull-down-stocks/,Virus fears further pull down stocks,Manual selection,NA,1
2020-01-31,Inquirer,https://business.inquirer.net/289377/ph-shares-sink-below-7400,"PH shares sink below 7,400",Business,NA,1
2020-01-31,Philippine Star,https://www.philstar.com/business/2020/01/31/1989066/philippines-still-open-free-trade-talks-us,Philippines still open to free trade talks with US,Business,NA,1
2020-02-01,Inquirer,https://business.inquirer.net/289523/stocks-sink-on-fears-virus-outbreak-will-dent-global-economy,Stocks sink on fears virus outbreak will dent global economy,Business,NA,1
2020-02-01,Inquirer,https://business.inquirer.net/289423/virus-scare-to-cut-asias-growth,Virus scare to cut Asia’s growth,Business,NA,1
2020-02-01,Inquirer,https://business.inquirer.net/289420/economic-team-virus-threat-to-have-only-short-term-impact-on-tourism,Economic team: Virus threat to have only ‘short-term’ impact on tourism,Business,NA,1
2020-02-01,Inquirer,https://business.inquirer.net/289414/psei-slips-into-bear-territory-slumps-to-7200-level,"PSEi slips into bear territory, slumps to 7,200 level",Business,NA,1
2020-02-02,Rappler,https://www.rappler.com/business/250810-chinese-central-bank-pump-money-into-economy-novel-coronavirus-fight/,Chinese central bank to pump $173 billion into economy in virus fight,Business,NA,1
2020-02-03,Business World,https://www.bworldonline.com/economy/2020/02/03/276541/bsp-rate-cut-seen-as-more-likely-in-march-hsbc/,BSP rate cut seen as more likely in March — HSBC,Economy,NA,1
2020-02-03,Business World,https://www.bworldonline.com/editors-picks/2020/02/03/276336/shares-may-move-sideways-as-virus-fears-persist/,Shares may move sideways as virus fears persist,Manual selection,NA,1
2020-02-03,Business World,https://www.bworldonline.com/editors-picks/2020/02/03/276412/yields-on-government-debt-drop-on-virus-rate-cut-bets/,"Yields on government debt drop on virus, rate cut bets",Manual selection,NA,1
2020-02-03,Business World,https://www.bworldonline.com/editors-picks/2020/02/03/276580/psei-sinks-to-7100-level-on-increasing-concern/,"PSEi sinks to 7,100 level on increasing concern",Manual selection,NA,1
2020-02-03,Philippine Star,https://www.philstar.com/business/2020/02/03/1989860/services-sector-bear-brunt-ncov-outbreak,Services sector to bear brunt of nCoV outbreak,Business,NA,1
2020-02-03,Rappler,https://www.rappler.com/business/250847-china-stocks-crash-virus-fears-long-market-break/,Chinese stocks crash as viral panic infects markets,Business,NA,1
2020-02-04,Business World,https://www.bworldonline.com/editors-picks/2020/02/04/276591/indonesia-pledges-steps-to-shield-rupiah-from-virus/,Indonesia pledges steps to shield rupiah from virus,Manual selection,NA,1
2020-02-04,Business World,https://www.bworldonline.com/editors-picks/2020/02/04/276844/peso-climbs-on-efforts-to-contain-wuhan-virus/,Peso climbs on efforts to contain Wuhan virus,Manual selection,NA,1
2020-02-04,Inquirer,https://business.inquirer.net/289727/dominguez-tells-senate-ncov-wont-make-ph-economy-sick,Dominguez tells Senate nCoV won’t make PH economy sick,Business,NA,1
2020-02-04,Inquirer,https://business.inquirer.net/289711/finance-exec-says-ph-economy-to-grow-above-6-despite-disasters-coronavirus,"Finance exec says PH economy to grow above 6% despite disasters, coronavirus",Business,NA,1
2020-02-04,Inquirer,https://business.inquirer.net/289706/asia-shares-gain-shanghai-up-slightly-after-wall-st-rebound,"Asia shares gain, Shanghai up slightly after Wall Street rebound",Business,NA,1
2020-02-04,Rappler,https://www.rappler.com/business/250996-novel-coronavirus-could-also-sicken-global-economy/,Novel coronavirus could also sicken global economy,Business,NA,1
2020-02-05,Business World,https://www.bworldonline.com/editors-picks/2020/02/05/276867/jfc-joins-companies-halting-china-business/,JFC joins companies halting China business,,Full Criteria,1
2020-02-05,Business World,https://www.bworldonline.com/editors-picks/2020/02/05/276843/rba-keeps-rate-at-record-low/,RBA keeps rate at record low,Manual selection,NA,1
2020-02-05,Business World,https://www.bworldonline.com/editors-picks/2020/02/05/277014/shares-climb-further-as-global-markets-rebound/,Shares climb further as global markets rebound,Manual selection,NA,1
2020-02-05,Inquirer,https://business.inquirer.net/289803/bsp-seen-unlocking-more-liquidity-with-new-rate-cut-despite-january-inflation-hike,BSP seen unlocking more liquidity with new rate cut despite January inflation hike,Business,NA,1
2020-02-05,Inquirer,https://business.inquirer.net/289776/asian-shares-up-on-china-efforts-despite-virus-worries,Asian shares up on China efforts despite virus worries,Business,NA,1
2020-02-05,Business Mirror,https://businessmirror.com.ph/2020/02/05/asia-faces-rate-cut-pressure-to-curb-fallout-from-virus/,Asia faces rate-cut pressure to curb fallout from virus,Business,NA,1
2020-02-05,Rappler,https://www.rappler.com/business/251096-china-stuttering-economy-braces-impact-deadly-novel-coronavirus/,China’s stuttering economy braces for impact of deadly virus,Business,NA,1
2020-02-05,Rappler,https://www.rappler.com/business/251067-world-bank-to-lower-global-growth-forecast-novel-coronavirus-outbreak/,World Bank to lower global growth forecast over virus outbreak,Business,NA,1
2020-02-06,Business World,https://www.bworldonline.com/editors-picks/2020/02/06/277017/demand-for-term-deposits-declines-amid-concerns/,Demand for term deposits declines amid concerns,Manual selection,NA,1
2020-02-06,Business World,https://www.bworldonline.com/editors-picks/2020/02/06/277220/pse-index-rises-to-7500-level-on-firms-earnings/,"PSE index rises to 7,500 level on firms’ earnings",Manual selection,NA,1
2020-02-06,Business World,https://www.bworldonline.com/editors-picks/2020/02/06/277221/peso-climbs-as-equities-rebound/,Peso climbs as equities rebound,Manual selection,NA,1
2020-02-06,Inquirer,https://business.inquirer.net/289875/bsp-doesnt-disappoint-seers-cuts-interest-rate-anew,"BSP doesn’t disappoint seers, cuts interest rate anew",Business,NA,1
2020-02-06,Inquirer,https://business.inquirer.net/289846/disconnect-stocks-rising-despite-fears-over-the-coronavirus,Disconnect? Stocks rising despite fears over the coronavirus,Business,NA,1
2020-02-06,Inquirer,https://business.inquirer.net/289842/us-stocks-extend-rally-sp-500-nasdaq-at-all-time-highs,"US stocks extend rally; S&P 500, Nasdaq at all-time highs",Business,NA,1
2020-02-06,Inquirer,https://business.inquirer.net/289834/bsp-seen-cutting-key-interest-rate-at-feb-6-meet-despite-inflation-uptick,BSP seen cutting key interest rate at Feb 6 meet despite inflation uptick,Business,NA,1
2020-02-06,Inquirer,https://business.inquirer.net/289827/bargain-hunting-propels-psei-out-of-bear-territory,Bargain-hunting propels PSEi out of bear territory,Business,NA,1
2020-02-06,Rappler,https://www.rappler.com/business/251118-novel-coronavirus-new-layer-uncertainty-european-economy-lagarde/,Coronavirus is ‘new layer of uncertainty’ for European economy,Business,NA,1
2020-02-07,Business World,https://www.bworldonline.com/editors-picks/2020/02/07/277228/reserve-bank-of-india-keeps-rates-steady-opens-door-to-more-easing/,"Reserve Bank of India keeps rates steady, opens door to more easing",Manual selection,NA,1
2020-02-07,Business World,https://www.bworldonline.com/editors-picks/2020/02/07/277367/bsp-cuts-key-rate-on-virus-outbreak/,BSP cuts key rate on virus outbreak,Manual selection,NA,1
2020-02-07,Business World,https://www.bworldonline.com/editors-picks/2020/02/07/277422/psei-closes-flat-as-bsp-cuts-key-rates/,PSEi closes flat as BSP cuts key rates,Manual selection,NA,1
